dtime,v1,v2,v3,a1,a2,a3,total_e
2022-12-05 00:09:52,126.207,123.928,125.313,22.272,20.930,22.079,44667.380
2022-12-05 00:19:52,132.843,130.475,132.048,1.577,0.161,1.462,44667.500
2022-12-05 00:29:52,133.426,130.599,132.376,1.582,0.165,1.466,44667.570
2022-12-05 00:39:52,133.331,130.612,132.391,1.581,0.162,1.468,44667.780
2022-12-05 00:49:52,133.205,131.063,132.517,1.577,0.162,1.462,44667.850
2022-12-05 00:59:53,133.612,131.271,132.818,1.583,0.166,1.467,44667.910
2022-12-05 01:09:53,132.539,130.100,131.575,1.574,0.163,1.459,44667.980
2022-12-05 01:19:53,131.671,128.183,131.623,6.459,5.979,1.469,44668.200
2022-12-05 01:29:53,124.402,121.792,124.390,27.505,26.683,22.751,44669.030
2022-12-05 01:39:53,127.162,124.527,126.315,22.339,20.863,22.026,44670.270
2022-12-05 01:49:53,126.001,123.517,124.920,22.345,21.011,21.932,44671.520
2022-12-05 01:59:53,126.620,124.395,125.593,22.209,21.094,21.948,44672.760
2022-12-05 02:09:55,133.558,131.407,132.878,1.581,0.162,1.466,44674.120
2022-12-05 02:19:53,133.506,130.984,132.367,1.585,0.167,1.466,44674.190
2022-12-05 02:29:54,133.700,131.193,132.703,1.582,0.162,1.467,44674.260
2022-12-05 02:39:54,133.208,131.044,132.256,1.579,0.166,1.461,44674.330
2022-12-05 02:49:54,133.540,131.191,132.668,1.580,0.163,1.465,44674.530
2022-12-05 02:59:54,133.871,131.258,133.068,1.584,0.162,1.468,44674.600
2022-12-05 03:09:54,133.373,130.854,132.395,1.579,0.162,1.463,44674.670
2022-12-05 03:19:56,131.911,129.072,132.350,7.032,6.521,1.460,44674.740
2022-12-05 03:29:54,133.400,131.192,132.759,1.581,0.163,1.465,44674.960
2022-12-05 03:39:56,134.453,131.635,133.901,1.589,0.164,1.473,44675.030
2022-12-05 03:49:54,134.419,131.675,133.666,1.586,0.158,1.472,44675.100
2022-12-05 03:59:55,127.868,125.600,127.253,22.124,20.910,22.083,44675.910
2022-12-05 04:09:56,127.629,125.325,126.851,22.110,20.884,21.999,44677.290
2022-12-05 04:19:55,127.775,125.097,127.046,22.348,20.705,22.151,44678.540
2022-12-05 04:29:56,126.590,124.284,125.650,22.240,21.014,22.027,44679.780
2022-12-05 04:39:55,126.373,123.894,125.247,22.338,22.175,22.333,44681.060
2022-12-05 04:49:55,123.964,121.474,122.900,30.922,30.480,30.751,44682.680
2022-12-05 04:59:55,123.247,120.689,122.187,31.552,30.845,31.320,44684.410
2022-12-05 05:09:55,122.384,119.613,121.585,34.102,34.659,31.968,44686.210
2022-12-05 05:19:56,122.049,119.382,121.098,34.072,34.853,31.985,44688.090
2022-12-05 05:29:56,123.385,120.706,122.047,31.941,31.264,31.398,44690.070
2022-12-05 05:39:56,119.589,116.501,118.321,43.892,43.844,42.181,44691.820
2022-12-05 05:49:56,120.863,118.464,119.722,37.950,37.507,37.321,44693.630
2022-12-05 05:59:58,123.386,121.137,122.431,33.578,31.993,33.227,44695.620
2022-12-05 06:09:56,123.263,120.384,122.463,34.107,33.234,31.371,44697.380
2022-12-05 06:19:58,124.600,121.907,123.988,33.878,33.010,31.334,44699.280
2022-12-05 06:29:57,125.089,122.972,124.008,31.261,29.910,31.030,44701.210
2022-12-05 06:39:58,122.012,118.783,120.321,43.851,42.709,41.501,44703.100
2022-12-05 06:49:57,125.350,122.642,123.464,30.029,28.350,28.528,44705.050
2022-12-05 06:59:57,134.667,132.242,133.345,1.594,0.167,1.475,44705.760
2022-12-05 07:09:59,134.384,132.003,132.933,1.589,0.168,1.471,44705.840
2022-12-05 07:19:57,131.085,127.453,129.752,12.445,12.496,11.702,44705.940
2022-12-05 07:29:57,135.056,133.174,136.699,6.519,6.040,1.495,44706.160
2022-12-05 07:39:57,135.596,134.765,136.761,1.611,0.163,1.493,44706.240
2022-12-05 07:49:57,134.839,133.010,135.594,1.607,0.167,1.487,44706.330
2022-12-05 07:59:58,135.105,133.706,136.499,1.721,0.166,1.605,44706.600
2022-12-05 08:09:59,135.143,133.696,136.700,1.946,0.165,1.832,44706.670
2022-12-05 08:19:58,134.537,133.139,135.998,1.939,0.164,1.825,44706.760
2022-12-05 08:29:58,136.205,133.993,137.110,21.742,19.798,22.935,44707.500
2022-12-05 08:39:58,133.446,131.329,133.905,21.785,19.976,22.718,44708.980
2022-12-05 08:49:58,133.430,131.566,134.106,21.729,19.993,22.901,44710.270
2022-12-05 08:59:58,133.565,131.735,133.954,21.723,20.105,22.732,44711.730
2022-12-05 09:09:59,133.968,132.277,134.520,21.598,20.074,22.760,44713.050
2022-12-05 09:19:59,134.393,132.090,134.516,21.888,19.868,22.589,44714.340
2022-12-05 09:29:59,136.709,134.304,137.288,1.949,0.170,1.832,44714.850
2022-12-05 09:39:59,135.568,132.845,136.128,1.943,0.169,1.827,44714.940
2022-12-05 09:49:59,137.477,135.132,137.562,1.949,0.165,1.833,44715.210
2022-12-05 09:59:59,136.618,134.075,136.820,1.947,0.167,1.831,44715.300
2022-12-05 10:09:59,138.460,136.537,137.850,1.948,0.164,1.834,44715.400
2022-12-05 10:19:59,136.071,133.417,135.082,13.783,14.275,13.935,44715.820
2022-12-05 10:29:59,134.860,131.881,135.566,6.635,6.156,1.828,44716.250
2022-12-05 10:39:59,137.357,135.417,136.117,1.945,0.168,1.829,44716.350
2022-12-05 10:50:00,136.760,135.421,136.151,1.942,0.169,1.827,44716.450
2022-12-05 11:00:00,136.735,134.410,136.238,1.941,0.165,1.826,44716.550
2022-12-05 11:09:50,137.181,135.209,136.492,1.943,0.165,1.827,44716.650
2022-12-05 11:19:50,135.765,133.276,135.534,1.940,0.168,1.824,44716.760
2022-12-05 11:29:50,133.463,130.873,133.245,22.302,19.951,22.719,44717.710
2022-12-05 11:39:50,134.702,132.127,133.654,26.847,25.963,21.763,44719.320
2022-12-05 11:49:50,133.892,131.460,133.951,26.494,25.456,22.250,44720.630
2022-12-05 11:59:50,137.937,135.634,137.304,1.626,0.163,1.507,44721.340
2022-12-05 12:09:52,136.010,133.792,136.633,6.623,6.120,1.500,44721.420
2022-12-05 12:19:51,136.323,134.608,135.302,1.611,0.167,1.490,44721.660
2022-12-05 12:29:51,135.786,133.148,134.803,1.611,0.166,1.491,44721.730
2022-12-05 12:39:51,136.887,134.887,135.624,1.616,0.167,1.494,44721.820
2022-12-05 12:49:53,134.025,131.532,132.494,22.131,20.454,21.512,44723.020
2022-12-05 12:59:51,132.980,130.282,131.460,22.220,20.319,21.546,44724.460
2022-12-05 13:09:53,136.190,133.898,135.359,6.545,6.068,1.606,44725.730
2022-12-05 13:19:51,135.113,132.901,134.105,13.407,14.231,13.360,44725.900
2022-12-05 13:29:52,137.147,135.041,136.150,1.617,0.164,1.498,44726.190
2022-12-05 13:39:52,136.865,134.994,135.680,1.613,0.164,1.494,44726.260
2022-12-05 13:49:52,137.700,135.714,136.465,1.728,0.162,1.613,44726.340
2022-12-05 13:59:54,137.411,135.064,136.320,1.619,0.166,1.500,44726.600
2022-12-05 14:09:52,137.917,135.930,136.962,1.623,0.164,1.504,44726.670
2022-12-05 14:19:52,137.433,135.627,136.604,1.619,0.164,1.501,44726.760
2022-12-05 14:29:52,137.762,135.439,136.890,1.624,0.166,1.504,44726.830
2022-12-05 14:39:52,136.192,134.008,136.138,6.039,5.596,1.499,44727.070
2022-12-05 14:49:52,137.062,135.098,136.413,1.617,0.164,1.501,44727.150
2022-12-05 14:59:53,135.580,133.118,134.646,22.000,20.178,21.786,44727.900
