dtime,v1,v2,v3,a1,a2,a3,total_e
2022-12-04 00:09:56,129.905,126.190,128.878,22.473,20.510,21.665,44578.370
2022-12-04 00:19:56,137.936,133.912,137.074,1.618,0.169,1.498,44578.480
2022-12-04 00:29:57,136.987,133.338,136.191,1.606,0.165,1.489,44578.570
2022-12-04 00:39:56,135.433,132.209,135.042,1.595,0.164,1.480,44578.770
2022-12-04 00:49:56,135.828,132.149,135.186,1.597,0.164,1.481,44578.840
2022-12-04 00:59:56,135.867,131.909,135.171,1.598,0.164,1.482,44578.910
2022-12-04 01:09:57,131.388,127.551,130.630,12.859,13.180,12.233,44579.090
2022-12-04 01:19:57,134.952,131.639,134.376,1.590,0.164,1.473,44579.190
2022-12-04 01:29:58,128.145,124.771,127.098,22.619,20.775,21.875,44580.030
2022-12-04 01:39:56,129.801,126.351,129.093,22.434,20.444,21.906,44581.290
2022-12-04 01:49:56,127.264,123.979,127.388,27.176,26.040,22.453,44582.660
2022-12-04 01:59:57,129.512,126.594,128.663,22.224,20.729,21.795,44583.930
2022-12-04 02:09:58,130.115,126.920,129.304,22.371,20.552,21.889,44585.180
2022-12-04 02:19:57,135.898,132.501,134.984,1.601,0.167,1.482,44585.260
2022-12-04 02:29:59,135.921,132.623,135.201,1.602,0.168,1.484,44585.450
2022-12-04 02:39:57,136.033,132.451,135.512,1.600,0.164,1.483,44585.540
2022-12-04 02:49:59,135.631,132.370,135.046,1.596,0.165,1.479,44585.610
2022-12-04 02:59:57,136.291,132.368,135.639,1.606,0.164,1.489,44585.800
2022-12-04 03:09:57,136.126,132.400,135.493,1.599,0.164,1.483,44585.880
2022-12-04 03:19:57,135.272,131.189,135.721,5.390,5.009,1.483,44585.960
2022-12-04 03:29:57,136.102,132.773,135.795,1.600,0.165,1.483,44586.030
2022-12-04 03:39:57,137.461,133.576,137.330,1.613,0.166,1.495,44586.230
2022-12-04 03:49:58,136.536,131.763,137.309,6.984,6.445,1.495,44586.300
2022-12-04 03:59:59,130.747,127.329,130.686,22.320,20.589,22.124,44587.070
2022-12-04 04:09:58,127.626,123.824,127.431,33.795,33.279,33.027,44588.390
2022-12-04 04:19:58,131.205,127.401,130.908,22.430,20.359,21.993,44589.720
2022-12-04 04:29:58,130.156,126.354,129.600,22.456,20.389,21.963,44590.970
2022-12-04 04:39:58,130.170,126.320,129.490,22.520,21.598,22.207,44592.310
2022-12-04 04:49:58,127.027,123.731,126.563,30.593,29.646,30.407,44594.160
2022-12-04 04:59:58,126.060,122.209,125.963,34.784,33.969,31.606,44595.980
2022-12-04 05:09:58,126.097,122.917,125.016,31.899,30.852,31.315,44597.740
