dtime,v1,v2,v3,a1,a2,a3,total_e
2022-12-01 00:09:59,129.797,127.556,128.612,22.150,20.682,21.856,44316.370
2022-12-01 00:19:59,135.516,132.726,134.386,1.598,0.159,1.481,44316.960
2022-12-01 00:29:59,135.954,132.779,134.699,1.602,0.162,1.482,44317.040
2022-12-01 00:39:59,135.735,133.143,134.691,1.599,0.158,1.480,44317.110
2022-12-01 00:49:59,135.895,133.490,134.964,1.600,0.163,1.481,44317.190
2022-12-01 00:59:59,136.103,133.141,134.758,1.604,0.162,1.484,44317.390
2022-12-01 01:09:59,135.513,132.771,134.056,1.594,0.160,1.476,44317.460
2022-12-01 01:20:00,134.731,132.713,133.403,1.589,0.157,1.471,44317.540
2022-12-01 01:29:59,128.364,126.131,127.062,22.502,21.143,22.119,44318.020
2022-12-01 01:40:00,129.509,126.982,128.409,22.286,20.556,21.952,44319.400
2022-12-01 01:49:50,128.473,125.926,126.992,22.325,20.681,21.735,44320.660
2022-12-01 01:59:51,129.038,127.082,127.883,22.026,20.843,21.830,44321.900
2022-12-01 02:09:50,127.461,125.028,127.341,26.854,25.894,22.484,44323.160
2022-12-01 02:19:50,135.782,132.870,134.355,1.600,0.160,1.480,44323.720
2022-12-01 02:29:50,135.809,133.255,134.433,1.598,0.158,1.479,44323.790
2022-12-01 02:39:50,135.598,132.868,134.259,1.596,0.160,1.478,44323.860
2022-12-01 02:49:50,132.561,129.851,131.253,12.316,12.978,11.939,44323.960
2022-12-01 02:59:52,135.782,132.968,134.450,1.598,0.156,1.480,44324.130
2022-12-01 03:09:51,136.025,133.596,134.745,1.597,0.158,1.480,44324.210
2022-12-01 03:19:51,135.523,132.614,134.501,1.598,0.157,1.478,44324.280
2022-12-01 03:29:51,136.108,133.249,135.310,1.609,0.156,1.492,44324.480
2022-12-01 03:39:51,136.198,132.330,136.351,5.684,5.257,1.492,44324.550
2022-12-01 03:49:51,137.288,134.004,136.419,1.611,0.157,1.494,44324.640
2022-12-01 03:59:52,130.832,127.867,129.834,22.588,20.580,22.181,44325.090
2022-12-01 04:09:51,131.005,128.427,130.115,22.232,20.497,22.024,44326.480
2022-12-01 04:19:51,130.827,128.303,129.878,22.123,20.454,21.893,44327.750
2022-12-01 04:29:52,131.133,128.520,130.021,22.148,20.416,21.796,44329.020
2022-12-01 04:39:52,130.551,127.621,129.373,22.390,21.527,22.190,44330.310
2022-12-01 04:49:52,127.513,124.852,126.158,30.716,29.938,30.189,44332.190
2022-12-01 04:59:52,127.401,124.979,126.371,29.484,28.812,29.382,44333.950
2022-12-01 05:09:52,126.440,123.532,124.962,31.747,30.556,31.043,44335.750
2022-12-01 05:19:52,121.443,118.607,119.901,43.384,44.170,42.110,44337.830
2022-12-01 05:29:52,125.855,123.052,124.230,31.668,30.773,30.839,44339.650
2022-12-01 05:39:52,127.513,125.015,126.420,31.681,31.127,31.450,44341.660
2022-12-01 05:49:53,127.898,124.938,126.469,30.537,29.326,29.744,44343.400
2022-12-01 05:59:53,127.382,124.296,127.067,37.490,34.711,32.662,44344.960
2022-12-01 06:09:53,127.472,124.796,125.826,31.402,29.455,30.257,44346.930
2022-12-01 06:19:53,128.280,125.838,126.808,31.058,29.306,30.327,44348.680
2022-12-01 06:29:53,126.996,124.251,125.202,31.480,29.521,30.165,44350.580
2022-12-01 06:39:53,126.333,123.633,124.093,31.554,29.986,29.851,44352.360
