dtime,v1,v2,v3,a1,a2,a3,total_e
2022-12-02 00:09:51,126.866,124.250,125.235,22.485,20.968,21.778,44406.270
2022-12-02 00:19:51,133.969,131.260,132.676,1.587,0.168,1.470,44406.890
2022-12-02 00:29:51,134.189,132.052,133.187,1.586,0.167,1.470,44406.960
2022-12-02 00:39:52,133.230,130.287,133.040,5.746,5.329,1.471,44407.040
2022-12-02 00:49:52,135.160,132.787,134.340,1.593,0.167,1.477,44407.110
2022-12-02 00:59:52,134.877,132.692,134.093,1.591,0.168,1.473,44407.180
2022-12-02 01:09:52,133.452,131.163,132.128,1.577,0.162,1.464,44407.400
2022-12-02 01:19:52,132.018,129.852,130.847,1.568,0.165,1.455,44407.470
2022-12-02 01:29:52,125.470,122.909,123.931,22.823,21.427,22.168,44407.950
2022-12-02 01:39:52,126.292,123.809,125.200,22.399,20.893,22.063,44409.200
2022-12-02 01:49:54,122.951,120.010,121.546,33.446,33.330,32.336,44410.470
2022-12-02 01:59:53,125.136,122.629,124.971,27.358,26.424,22.660,44411.840
2022-12-02 02:09:53,126.847,124.801,125.726,22.198,21.073,21.989,44413.080
2022-12-02 02:19:53,132.678,130.689,131.616,1.576,0.168,1.461,44413.520
2022-12-02 02:29:53,132.048,129.588,130.877,1.572,0.167,1.456,44413.590
2022-12-02 02:39:53,128.902,126.455,127.651,11.545,12.429,11.303,44413.660
2022-12-02 02:49:53,131.711,129.364,130.564,1.570,0.169,1.453,44413.870
2022-12-02 02:59:53,134.287,131.402,132.839,1.593,0.161,1.470,44413.940
2022-12-02 03:09:53,132.965,130.533,131.930,1.576,0.167,1.461,44414.010
2022-12-02 03:19:53,132.980,130.831,131.877,1.575,0.164,1.460,44414.070
2022-12-02 03:29:54,132.686,130.117,131.615,1.581,0.165,1.466,44414.290
2022-12-02 03:39:54,134.828,131.906,134.149,1.590,0.163,1.475,44414.380
2022-12-02 03:49:54,134.189,130.900,133.111,1.588,0.167,1.471,44414.450
2022-12-02 03:59:54,128.046,125.623,127.477,22.514,20.985,22.492,44414.830
2022-12-02 04:09:54,128.044,125.028,127.162,22.589,20.587,22.197,44416.090
2022-12-02 04:19:54,128.828,126.126,127.855,22.264,20.563,21.942,44417.480
2022-12-02 04:29:54,127.324,124.418,126.035,22.561,20.716,21.939,44418.730
2022-12-02 04:39:54,123.451,120.498,122.846,34.020,33.892,31.218,44420.470
2022-12-02 04:49:55,124.968,122.647,123.683,31.254,31.019,31.032,44422.230
2022-12-02 04:59:55,123.130,120.255,121.670,32.106,31.036,31.324,44424.020
2022-12-02 05:09:55,123.151,120.442,121.784,31.872,31.029,31.309,44425.930
2022-12-02 05:19:55,125.371,122.675,123.805,22.652,22.183,22.295,44427.880
2022-12-02 05:29:55,123.290,120.197,121.664,33.763,34.550,32.596,44429.180
2022-12-02 05:40:00,124.296,121.581,122.918,33.836,32.946,33.075,44431.140
2022-12-02 05:49:55,122.315,119.510,120.944,39.329,37.891,38.229,44433.180
2022-12-02 05:59:55,124.265,121.871,122.884,31.558,29.903,30.819,44435.270
2022-12-02 06:09:55,123.567,120.647,122.583,34.281,33.197,31.276,44436.990
2022-12-02 06:19:56,119.991,117.449,118.706,43.234,43.023,42.242,44438.800
2022-12-02 06:29:56,124.037,121.758,122.440,31.598,30.276,30.726,44440.880
2022-12-02 06:39:57,124.844,121.650,122.637,32.155,29.852,30.092,44442.610
2022-12-02 06:49:56,134.320,131.318,132.034,1.587,0.170,1.468,44444.140
2022-12-02 06:59:56,133.893,131.045,132.005,1.590,0.171,1.470,44444.220
2022-12-02 07:09:56,134.562,131.416,132.425,1.591,0.172,1.470,44444.300
2022-12-02 07:19:57,134.385,130.964,132.301,1.589,0.168,1.471,44444.580
2022-12-02 07:29:56,135.358,133.857,136.507,1.611,0.163,1.492,44444.660
2022-12-02 07:39:57,135.372,133.726,136.660,5.567,5.183,1.495,44444.740
2022-12-02 07:49:57,136.158,134.353,137.187,1.616,0.160,1.499,44444.820
2022-12-02 07:59:57,135.001,132.949,136.244,4.916,4.702,1.954,44445.160
