time,id,total_energy,ac_v1,ac_a1,ac_w1,ac_f1,ac_v2,ac_a2,ac_w2,ac_f2,ac_v3,ac_a3,ac_w3,ac_f3,dc_v1,dc_a1,dc_w1,dc_v2,dc_a2,dc_w2,temp,sun_meter,t_meter
2022-12-12 06:18:01,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6
2022-12-12 06:18:01,002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6
2022-12-12 06:18:01,003,0,2176.0,2176.0,4734976.0,217.6,2176.0,2176.0,4734976.0,217.6,2176.0,2176.0,4734976.0,217.6,2176.0,2176.0,4734976.0,2176.0,2176.0,4734976.0,217.6,0,16.6
2022-12-12 06:18:01,004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.6
2022-12-12 06:18:01,005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6
2022-12-12 06:18:01,006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6
2022-12-12 06:18:01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6
2022-12-12 06:18:01,008,180222,42949672.95,4294967.29,2147483648,42949672.95,42949672.95,4294967.29,2147483648,42949672.95,42949672.95,4294967.29,2147483648,42949672.95,21474836.48,2147483.65,2147483648,0,0,0,0,0,16.6
2022-12-12 06:18:01,009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.6
2022-12-12 06:18:01,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6
2022-12-12 06:18:01,011,0,82.2,6.7,550.74,60.04,81.3,6.7,544.71,60.04,82.4,6.7,552.08,60.04,181.4,0.6,108.84,180.6,0.0,0.0,80.05,0,16.6
2022-12-12 06:18:01,012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6
2022-12-12 06:18:01,013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6
2022-12-12 06:18:01,014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.6
2022-12-12 06:18:01,015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,16.6
2022-12-12 06:18:01,016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,16.6
2022-12-12 06:18:01,017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,16.6
2022-12-12 06:18:01,018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6
2022-12-12 06:18:01,019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6
2022-12-12 06:18:01,021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.6
2022-12-12 06:18:01,022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6
2022-12-12 06:18:01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6
2022-12-12 06:23:01,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8
2022-12-12 06:23:01,002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.8
2022-12-12 06:23:01,003,181263.1,222.5,0.0,0.0,60.04,225.0,0.0,0.0,60.04,224.6,0.0,0.0,60.04,291.0,0.2,58.2,291.6,0.2,58.32,85.77,0,16.8
2022-12-12 06:23:01,004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.8
2022-12-12 06:23:01,005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8
2022-12-12 06:23:01,006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.8
2022-12-12 06:23:01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.19,0,16.8
2022-12-12 06:23:01,008,180222,42949672.95,4294967.29,2147483648,42949672.95,42949672.95,4294967.29,2147483648,42949672.95,42949672.95,4294967.29,2147483648,42949672.95,21474836.48,2147483.65,2147483648,0,0,0,0,0,16.8
2022-12-12 06:23:01,009,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.8
2022-12-12 06:23:01,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,16.8
2022-12-12 06:23:01,011,0,222.8,0.0,0.0,60.02,220.3,0.0,0.0,60.02,223.2,0.0,0.0,60.02,333.5,0.4,133.4,332.0,0.0,0.0,29.54,0,16.8
2022-12-12 06:23:01,012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.8
2022-12-12 06:23:01,013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8
2022-12-12 06:23:01,014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.8
2022-12-12 06:23:01,015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.8
2022-12-12 06:23:01,016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.8
2022-12-12 06:23:01,017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.8
2022-12-12 06:23:01,018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8
2022-12-12 06:23:01,019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.8
2022-12-12 06:23:01,021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.8
2022-12-12 06:23:01,022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8
2022-12-12 06:23:01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8
2022-12-12 06:28:01,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9
2022-12-12 06:28:01,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.9
2022-12-12 06:28:01,003,181263.1,223.4,0.0,0.0,60.03,224.6,0.0,0.0,60.03,224.1,0.0,0.0,60.03,435.1,0.0,0.0,435.3,0.0,0.0,14.39,0,16.9
2022-12-12 06:28:01,004,28557.31,221.4,0.0,0.0,60.02,224.1,0.0,0.0,60.02,224.3,0.0,0.0,60.02,441.4,0.0,0.0,439.2,0.0,0.0,15.19,0,16.9
2022-12-12 06:28:01,005,95671.51,218.9,0.1,21.89,60.03,221.4,0.1,22.14,60.03,222.1,0.1,22.21,60.03,483.2,0.2,96.64,483.7,0.0,0.0,42.17,0,16.9
2022-12-12 06:28:01,006,92989.59,221.9,0.0,0.0,60.03,225.2,0.0,0.0,60.03,224.1,0.0,0.0,60.03,366.0,0.0,0.0,365.6,0.0,0.0,14.09,0,16.9
2022-12-12 06:28:01,007,24131.4,222.5,0.0,0.0,60.03,221.6,0.0,0.0,60.03,222.1,0.0,0.0,60.03,449.2,0.0,0.0,447.4,0.0,0.0,15.77,0,16.9
2022-12-12 06:28:01,008,180222,221.31,0.0,0,60.02,222.76,0.0,0,60.02,223.54,0.0,0,60.02,558.9,0.0,0,0,0,0,0,0,16.9
2022-12-12 06:28:01,009,41181.01,220.7,0.0,0.0,60.03,224.1,0.0,0.0,60.03,224.3,0.0,0.0,60.03,441.2,0.0,0.0,438.6,0.0,0.0,14.31,0,16.9
2022-12-12 06:28:01,010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.9
2022-12-12 06:28:01,011,21999.99,222.8,0.0,0.0,60.04,220.1,0.0,0.0,60.04,223.4,0.0,0.0,60.04,523.0,0.4,209.2,519.9,0.0,0.0,21.3,0,16.9
2022-12-12 06:28:01,012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.9
2022-12-12 06:28:01,013,141991,221.6,0.0,0,60.03,223.33,0.0,0,60.03,223.11,0.0,0,60.03,553.04,0.0,0,0,0,0,0,0,16.9
2022-12-12 06:28:01,014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.9
2022-12-12 06:28:01,015,47509.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9
2022-12-12 06:28:01,016,79549.89,221.6,0.0,0.0,59.99,223.4,0.0,0.0,59.99,224.1,0.0,0.0,59.99,238.2,0.0,0.0,237.6,0.0,0.0,15.19,0,16.9
2022-12-12 06:28:01,017,25799.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9
2022-12-12 06:28:01,018,94019,221.26,0.0,0,59.99,223.36,0.0,0,59.99,223.2,0.0,0,59.99,590.96,0.0,0,0,0,0,0,0,16.9
2022-12-12 06:28:01,019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.9
2022-12-12 06:28:01,021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16.9
2022-12-12 06:28:01,022,172778.05,217.67,0.67,0.0,60.04,0,0,0,0,0,0,0,0,534.29,0.0,0.0,534.89,0.07,0.0,18.64,0,16.9
2022-12-12 06:28:01,023,234233.44,220.74,0.67,0.0,60.04,0,0,0,0,0,0,0,0,593.64,0.0,0.0,593.34,0.0,0.0,18.83,0,16.9
2022-12-12 06:33:01,001,194126,220.82,0.0,0,59.94,223.02,0.0,0,59.94,223.0,0.0,0,59.94,547.22,0.0,0,0,0,0,0,1,17.0
2022-12-12 06:33:01,002,32125.41,222.1,0.0,0.0,59.96,223.4,0.0,0.0,59.96,223.0,0.0,0.0,59.96,528.1,0.0,0.0,527.9,0.0,0.0,14.24,1,17.0
2022-12-12 06:33:01,003,181263.1,222.3,0.0,0.0,59.97,223.9,0.0,0.0,59.97,223.7,0.0,0.0,59.97,606.4,0.0,0.0,606.0,0.0,0.0,14.39,1,17.0
2022-12-12 06:33:01,004,28557.31,220.7,0.0,0.0,59.96,223.0,0.0,0.0,59.96,223.2,0.0,0.0,59.96,584.7,0.0,0.0,582.2,0.0,0.0,15.25,1,17.0
2022-12-12 06:33:01,005,95671.51,220.7,0.0,0.0,59.95,223.0,0.0,0.0,59.95,223.4,0.0,0.0,59.95,513.2,0.0,0.0,513.6,0.0,0.0,15.19,1,17.0
2022-12-12 06:33:01,006,92989.59,220.5,0.0,0.0,59.96,224.6,0.0,0.0,59.96,223.2,0.0,0.0,59.96,572.8,0.0,0.0,572.0,0.0,0.0,14.01,1,17.0
2022-12-12 06:33:01,007,24131.4,221.4,0.0,0.0,59.96,221.0,0.0,0.0,59.96,221.0,0.0,0.0,59.96,591.6,0.0,0.0,589.4,0.0,0.0,15.77,1,17.0
2022-12-12 06:33:01,008,180222,219.99,0.0,0,59.95,221.73,0.0,0,59.95,222.39,0.0,0,59.95,605.76,0.0,0,0,0,0,0,1,17.0
2022-12-12 06:33:01,009,41181.01,219.8,0.0,0.0,59.95,223.4,0.0,0.0,59.95,223.2,0.0,0.0,59.95,599.4,0.0,0.0,596.2,0.0,0.0,14.31,1,17.0
2022-12-12 06:33:01,010,29566.58,221.9,0.0,0.0,59.96,223.4,0.0,0.0,59.96,223.0,0.0,0.0,59.96,525.0,0.0,0.0,524.4,0.0,0.0,15.77,1,17.0
2022-12-12 06:33:01,011,21999.99,222.8,0.0,0.0,59.95,219.2,0.0,0.0,59.95,222.3,0.0,0.0,59.95,585.9,0.0,0.0,581.6,0.0,0.0,15.19,1,17.0
2022-12-12 06:33:01,012,80962.7,220.7,0.0,0.0,59.95,223.0,0.0,0.0,59.95,223.2,0.0,0.0,59.95,536.7,0.0,0.0,536.1,0.0,0.0,14.84,1,17.0
2022-12-12 06:33:01,013,141991,220.63,0.0,0,59.94,222.79,0.0,0,59.94,222.16,0.0,0,59.94,599.61,0.0,0,0,0,0,0,1,17.0
2022-12-12 06:33:01,014,38500.32,221.4,0.0,0.0,59.95,223.9,0.0,0.0,59.95,223.2,0.0,0.0,59.95,475.5,0.0,0.0,473.8,0.0,0.0,16.36,1,17.0
2022-12-12 06:33:01,015,47509.75,221.0,0.0,0.0,59.95,223.2,0.0,0.0,59.95,223.2,0.0,0.0,59.95,612.8,0.0,0.0,613.8,0.0,0.0,15.77,1,17.0
2022-12-12 06:33:01,016,79549.89,220.7,0.0,0.0,59.95,223.0,0.0,0.0,59.95,223.4,0.0,0.0,59.95,590.0,0.0,0.0,590.2,0.0,0.0,15.06,1,17.0
2022-12-12 06:33:01,017,25799.99,221.9,0.0,0.0,59.94,223.2,0.0,0.0,59.94,223.7,0.0,0.0,59.94,10.9,0.0,0.0,71.4,0.0,0.0,15.64,1,17.0
